,Subbasin,BMP,LU_Base,LU_BMP
0,15,29,26,426
1,18,6,8,108
2,19,88,84,384
3,21,29,26,426
4,22,29,26,426
5,23,29,26,426
6,24,37,27,327
7,25,37,27,327
8,26,29,26,426
9,27,29,26,426
10,28,29,26,426
11,29,29,26,426
12,30,29,26,426
13,31,29,26,426
14,32,29,26,426
15,33,29,26,426
16,34,29,26,426
17,35,29,26,426
18,36,29,26,426
19,37,29,26,426
20,39,29,26,426
21,40,29,26,426
22,41,29,26,426
23,42,29,26,426
24,43,29,26,426
25,44,29,26,426
26,45,29,26,426
27,46,29,26,426
28,47,29,26,426
29,48,29,26,426
30,49,29,26,426
31,51,29,26,426
32,54,29,26,426
33,55,29,26,426
34,56,29,26,426
35,57,29,26,426
36,58,29,26,426
37,59,29,26,426
38,60,57,36,336
39,61,57,36,336
40,62,29,26,426
41,63,29,26,426
42,64,37,27,327
43,66,29,26,426
44,67,29,26,426
45,68,38,27,427
46,69,29,26,426
47,70,38,27,427
48,71,29,26,426
49,72,29,26,426
50,73,29,26,426
51,74,29,26,426
52,75,29,26,426
53,76,29,26,426
54,77,29,26,426
55,78,29,26,426
56,79,29,26,426
57,80,38,27,427
58,81,29,26,426
59,82,29,26,426
60,83,29,26,426
61,84,29,26,426
62,85,29,26,426
63,86,29,26,426
64,87,29,26,426
65,88,29,26,426
66,89,29,26,426
67,90,29,26,426
68,91,29,26,426
69,92,29,26,426
70,93,29,26,426
71,94,29,26,426
72,95,29,26,426
73,96,29,26,426
74,97,29,26,426
75,98,29,26,426
76,99,29,26,426
77,100,29,26,426
78,102,29,26,426
79,103,37,27,327
80,104,29,26,426
81,105,29,26,426
82,106,29,26,426
83,107,29,26,426
84,108,29,26,426
85,109,29,26,426
86,110,29,26,426
87,111,29,26,426
88,112,6,8,108
89,113,29,26,426
90,114,6,8,108
91,115,6,8,108
92,117,6,8,108
93,118,6,8,108
94,119,6,8,108
95,120,29,26,426
96,121,29,26,426
97,122,29,26,426
98,123,29,26,426
99,125,92,84,784
100,126,92,84,784
101,127,29,26,426
102,128,92,84,784
103,129,92,84,784
104,130,6,8,108
105,131,29,26,426
106,132,37,27,327
107,133,29,26,426
108,134,6,8,108
109,135,29,26,426
110,136,29,26,426
111,137,37,27,327
112,138,6,8,108
113,140,29,26,426
114,141,6,8,108
115,143,29,26,426
116,144,29,26,426
117,145,29,26,426
118,148,37,27,327
119,149,37,27,327
120,150,37,27,327
121,151,29,26,426
122,152,29,26,426
123,154,29,26,426
124,156,92,84,784
125,158,6,8,108
126,159,29,26,426
127,160,29,26,426
128,163,37,27,327
129,166,92,84,784
130,167,29,26,426
131,168,29,26,426
132,169,29,26,426
133,171,29,26,426
134,172,6,8,108
135,173,6,8,108
136,174,6,8,108
137,175,29,26,426
138,176,29,26,426
139,179,29,26,426
140,180,43,28,528
141,181,29,26,426
142,182,29,26,426
143,183,29,26,426
144,184,29,26,426
145,186,29,26,426
146,187,6,8,108
147,188,29,26,426
148,189,29,26,426
149,190,37,27,327
150,191,29,26,426
151,193,29,26,426
152,196,29,26,426
153,199,29,26,426
154,200,29,26,426
155,202,29,26,426
156,204,29,26,426
157,205,29,26,426
158,208,29,26,426
159,209,37,27,327
160,210,29,26,426
161,211,29,26,426
162,212,29,26,426
163,213,29,26,426
164,214,43,28,528
165,215,29,26,426
166,216,29,26,426
167,217,29,26,426
168,219,29,26,426
169,221,38,27,427
170,222,37,27,327
171,225,38,27,427
