Node, BMPs
22,30
23,30
26,30
27,29
28,29
29,30
31,30
32,30
33,30
35,30
36,29
37,29
39,29
41,30
42,30
43,29
44,30
45,29
46,29
47,30
48,29
49,30
51,29
54,30
55,30
56,29
57,30
58,29
59,29
60,57
61,55
63,30
66,30
67,30
69,29
71,29
72,30
73,29
74,30
75,30
76,29
77,30
78,29
79,29
81,30
82,29
83,30
84,30
85,30
87,30
88,30
89,30
90,30
91,30
92,30
93,30
95,30
96,30
97,30
99,30
100,30
102,30
104,30
105,30
107,30
108,29
110,30
113,30
120,30
121,30
122,29
127,29
133,30
136,30
140,30
143,30
144,30
151,30
152,30
154,30
167,30
168,30
169,30
171,30
175,30
176,30
179,30
181,29
182,29
183,30
186,30
188,30
189,30
196,29
199,30
204,30
208,29
210,30
211,30
213,30
214,42
215,30
219,30
