,Subbasin,BMP,LU_Base,LU_BMP
0,21,29,26,426
1,22,29,26,426
2,23,29,26,426
3,24,37,27,327
4,25,37,27,327
5,26,29,26,426
6,27,29,26,426
7,28,29,26,426
8,29,29,26,426
9,31,29,26,426
10,32,29,26,426
11,33,29,26,426
12,34,29,26,426
13,35,29,26,426
14,36,29,26,426
15,37,29,26,426
16,39,29,26,426
17,40,29,26,426
18,41,29,26,426
19,42,29,26,426
20,43,29,26,426
21,44,29,26,426
22,45,29,26,426
23,46,29,26,426
24,47,29,26,426
25,48,29,26,426
26,49,29,26,426
27,51,29,26,426
28,54,29,26,426
29,55,29,26,426
30,56,29,26,426
31,57,29,26,426
32,58,29,26,426
33,59,29,26,426
34,60,57,36,336
35,61,57,36,336
36,62,29,26,426
37,63,29,26,426
38,64,37,27,327
39,66,29,26,426
40,67,29,26,426
41,68,38,27,427
42,69,29,26,426
43,70,38,27,427
44,71,29,26,426
45,72,29,26,426
46,73,29,26,426
47,74,29,26,426
48,75,29,26,426
49,76,29,26,426
50,77,29,26,426
51,78,29,26,426
52,79,29,26,426
53,80,38,27,427
54,81,29,26,426
55,82,29,26,426
56,83,29,26,426
57,84,29,26,426
58,85,29,26,426
59,86,29,26,426
60,87,29,26,426
61,88,29,26,426
62,89,29,26,426
63,90,29,26,426
64,91,29,26,426
65,92,29,26,426
66,93,29,26,426
67,94,29,26,426
68,95,29,26,426
69,96,29,26,426
70,97,29,26,426
71,98,29,26,426
72,99,29,26,426
73,100,29,26,426
74,102,29,26,426
75,103,38,27,427
76,104,29,26,426
77,105,29,26,426
78,106,29,26,426
79,107,29,26,426
80,108,29,26,426
81,109,29,26,426
82,110,29,26,426
83,111,29,26,426
84,112,6,8,108
85,113,29,26,426
86,114,6,8,108
87,115,6,8,108
88,117,6,8,108
89,118,6,8,108
90,119,6,8,108
91,120,29,26,426
92,121,29,26,426
93,122,29,26,426
94,123,29,26,426
95,125,92,84,784
96,126,92,84,784
97,127,29,26,426
98,128,92,84,784
99,129,92,84,784
100,130,6,8,108
101,131,29,26,426
102,132,37,27,327
103,133,29,26,426
104,134,6,8,108
105,135,29,26,426
106,136,29,26,426
107,137,37,27,327
108,138,6,8,108
109,140,29,26,426
110,141,6,8,108
111,143,29,26,426
112,144,29,26,426
113,145,29,26,426
114,149,37,27,327
115,150,37,27,327
116,151,29,26,426
117,152,29,26,426
118,154,29,26,426
119,156,92,84,784
120,158,6,8,108
121,159,29,26,426
122,160,29,26,426
123,163,37,27,327
124,166,92,84,784
125,167,29,26,426
126,168,29,26,426
127,169,29,26,426
128,171,29,26,426
129,172,6,8,108
130,173,6,8,108
131,174,6,8,108
132,175,29,26,426
133,176,29,26,426
134,179,29,26,426
135,180,43,28,528
136,181,29,26,426
137,182,29,26,426
138,183,29,26,426
139,184,29,26,426
140,186,29,26,426
141,187,6,8,108
142,188,29,26,426
143,189,29,26,426
144,190,37,27,327
145,191,29,26,426
146,193,29,26,426
147,196,29,26,426
148,199,29,26,426
149,200,29,26,426
150,202,29,26,426
151,204,29,26,426
152,205,29,26,426
153,208,29,26,426
154,209,37,27,327
155,210,29,26,426
156,211,29,26,426
157,212,29,26,426
158,213,29,26,426
159,214,43,28,528
160,215,29,26,426
161,216,29,26,426
162,217,29,26,426
163,219,29,26,426
164,221,37,27,327
165,222,37,27,327
166,225,37,27,327
