,Subbasin,BMP,LU_Base,LU_BMP
0,13,26,26,126
1,15,26,26,126
2,17,35,27,127
3,18,6,8,108
4,19,88,84,384
5,20,29,26,426
6,21,26,26,126
7,22,29,26,426
8,23,26,26,126
9,24,35,27,127
10,25,36,27,227
11,26,29,26,426
12,27,29,26,426
13,28,29,26,426
14,29,29,26,426
15,30,26,26,126
16,31,29,26,426
17,32,29,26,426
18,33,26,26,126
19,34,26,26,126
20,35,29,26,426
21,36,29,26,426
22,37,29,26,426
23,39,29,26,426
24,40,29,26,426
25,41,29,26,426
26,42,29,26,426
27,43,29,26,426
28,44,29,26,426
29,45,29,26,426
30,46,29,26,426
31,47,29,26,426
32,48,29,26,426
33,49,29,26,426
34,51,26,26,126
35,54,29,26,426
36,55,26,26,126
37,56,29,26,426
38,57,29,26,426
39,58,29,26,426
40,59,29,26,426
41,61,55,36,136
42,62,26,26,126
43,63,29,26,426
44,64,36,27,227
45,66,29,26,426
46,67,29,26,426
47,68,36,27,227
48,69,29,26,426
49,70,36,27,227
50,71,29,26,426
51,72,29,26,426
52,73,29,26,426
53,74,29,26,426
54,75,29,26,426
55,76,29,26,426
56,77,26,26,126
57,78,29,26,426
58,79,29,26,426
59,80,36,27,227
60,81,29,26,426
61,82,29,26,426
62,83,29,26,426
63,84,29,26,426
64,85,29,26,426
65,86,26,26,126
66,87,29,26,426
67,88,26,26,126
68,89,26,26,126
69,90,29,26,426
70,91,29,26,426
71,92,26,26,126
72,93,29,26,426
73,94,29,26,426
74,95,29,26,426
75,96,29,26,426
76,97,29,26,426
77,98,26,26,126
78,99,26,26,126
79,100,29,26,426
80,102,26,26,126
81,103,36,27,227
82,104,29,26,426
83,105,29,26,426
84,106,26,26,126
85,107,26,26,126
86,108,29,26,426
87,109,29,26,426
88,110,26,26,126
89,111,26,26,126
90,112,6,8,108
91,113,26,26,126
92,114,6,8,108
93,115,6,8,108
94,118,6,8,108
95,119,6,8,108
96,120,26,26,126
97,121,29,26,426
98,122,29,26,426
99,123,29,26,426
100,125,88,84,384
101,126,88,84,384
102,127,29,26,426
103,128,88,84,384
104,129,91,84,684
105,130,6,8,108
106,131,26,26,126
107,132,35,27,127
108,133,26,26,126
109,135,26,26,126
110,136,29,26,426
111,137,35,27,127
112,138,6,8,108
113,140,29,26,426
114,141,6,8,108
115,143,26,26,126
116,144,29,26,426
117,145,26,26,126
118,148,35,27,127
119,149,35,27,127
120,150,35,27,127
121,151,29,26,426
122,152,26,26,126
123,154,26,26,126
124,156,88,84,384
125,158,6,8,108
126,159,26,26,126
127,160,26,26,126
128,163,36,27,227
129,166,88,84,384
130,167,29,26,426
131,168,29,26,426
132,169,26,26,126
133,171,29,26,426
134,172,6,8,108
135,173,6,8,108
136,174,6,8,108
137,175,29,26,426
138,176,26,26,126
139,179,26,26,126
140,180,39,28,128
141,181,29,26,426
142,182,29,26,426
143,183,29,26,426
144,184,26,26,126
145,186,29,26,426
146,187,6,8,108
147,188,26,26,126
148,189,29,26,426
149,190,35,27,127
150,191,26,26,126
151,193,26,26,126
152,196,26,26,126
153,199,29,26,426
154,200,26,26,126
155,202,26,26,126
156,204,29,26,426
157,205,29,26,426
158,208,29,26,426
159,209,35,27,127
160,210,26,26,126
161,211,26,26,126
162,212,26,26,126
163,213,29,26,426
164,214,39,28,128
165,215,29,26,426
166,216,26,26,126
167,217,26,26,126
168,219,26,26,126
169,221,35,27,127
170,222,36,27,227
171,225,36,27,227
