Node, BMPs
21,30
22,30
23,30
26,30
27,29
28,29
29,29
30,26
31,29
32,30
33,30
35,29
36,29
37,29
39,29
40,30
41,29
42,30
43,29
44,29
45,29
46,29
47,30
48,29
49,29
51,29
54,30
55,30
56,29
57,29
58,29
59,29
60,57
61,57
63,29
66,29
67,29
69,29
71,29
72,29
73,29
74,29
75,29
76,29
77,30
78,29
79,29
81,29
82,29
83,29
84,30
85,29
86,30
87,29
88,30
89,30
90,29
91,29
92,30
93,30
94,30
95,29
96,29
97,29
98,30
99,30
100,30
102,30
104,29
105,30
106,30
107,30
108,29
110,30
111,30
113,30
120,29
121,29
122,29
127,29
131,30
133,29
136,30
140,29
143,29
144,30
145,30
151,30
152,29
154,30
159,30
167,29
168,29
169,30
171,29
175,30
176,29
179,30
181,29
182,29
183,30
186,29
188,30
189,30
191,30
193,30
196,29
199,29
200,30
202,30
204,29
205,30
208,29
210,30
211,29
212,30
213,29
214,42
215,30
216,30
219,30
