Node, BMPs
13,26
15,26
17,35
18,6
19,88
20,29
21,26
22,29
23,26
24,35
25,36
26,29
27,29
28,29
29,29
30,26
31,29
32,29
33,26
34,26
35,29
36,29
37,29
39,29
40,29
41,29
42,29
43,29
44,29
45,29
46,29
47,29
48,29
49,29
51,26
54,29
55,26
56,29
57,29
58,29
59,29
61,55
62,26
63,29
64,36
66,29
67,29
68,36
69,29
70,36
71,29
72,29
73,29
74,29
75,29
76,29
77,26
78,29
79,29
80,36
81,29
82,29
83,29
84,29
85,29
86,26
87,29
88,26
89,26
90,29
91,29
92,26
93,29
94,29
95,29
96,29
97,29
98,26
99,26
100,29
102,26
103,36
104,29
105,29
106,26
107,26
108,29
109,29
110,26
111,26
112,6
113,26
114,6
115,6
118,6
119,6
120,26
121,29
122,29
123,29
125,88
126,88
127,29
128,88
129,91
130,6
131,26
132,35
133,26
135,26
136,29
137,35
138,6
140,29
141,6
143,26
144,29
145,26
148,35
149,35
150,35
151,29
152,26
154,26
156,88
158,6
159,26
160,26
163,36
166,88
167,29
168,29
169,26
171,29
172,6
173,6
174,6
175,29
176,26
179,26
180,39
181,29
182,29
183,29
184,26
186,29
187,6
188,26
189,29
190,35
191,26
193,26
196,26
199,29
200,26
202,26
204,29
205,29
208,29
209,35
210,26
211,26
212,26
213,29
214,39
215,29
216,26
217,26
219,26
221,35
222,36
225,36
