,Subbasin,BMP,LU_Base,LU_BMP
0,23,30,26,826
1,26,30,26,826
2,27,29,26,426
3,28,30,26,826
4,29,30,26,826
5,31,30,26,826
6,33,30,26,826
7,35,29,26,426
8,36,29,26,426
9,37,29,26,426
10,39,29,26,426
11,40,30,26,826
12,41,30,26,826
13,42,30,26,826
14,43,29,26,426
15,44,29,26,426
16,45,29,26,426
17,46,29,26,426
18,47,30,26,826
19,48,29,26,426
20,49,29,26,426
21,51,29,26,426
22,54,30,26,826
23,55,30,26,826
24,56,29,26,426
25,57,30,26,826
26,58,29,26,426
27,59,29,26,426
28,60,57,36,336
29,61,57,36,336
30,63,30,26,826
31,66,30,26,826
32,67,30,26,826
33,69,29,26,426
34,71,29,26,426
35,72,30,26,826
36,73,29,26,426
37,74,30,26,826
38,75,30,26,826
39,76,29,26,426
40,77,30,26,826
41,78,29,26,426
42,79,30,26,826
43,81,30,26,826
44,82,29,26,426
45,83,30,26,826
46,84,30,26,826
47,85,30,26,826
48,87,30,26,826
49,89,30,26,826
50,90,30,26,826
51,91,30,26,826
52,92,30,26,826
53,93,30,26,826
54,95,30,26,826
55,96,30,26,826
56,97,30,26,826
57,99,30,26,826
58,100,30,26,826
59,102,30,26,826
60,104,30,26,826
61,105,30,26,826
62,107,30,26,826
63,108,29,26,426
64,110,30,26,826
65,113,30,26,826
66,120,30,26,826
67,121,30,26,826
68,122,29,26,426
69,127,30,26,826
70,133,30,26,826
71,136,30,26,826
72,140,30,26,826
73,143,30,26,826
74,144,30,26,826
75,151,26,26,126
76,152,30,26,826
77,167,30,26,826
78,168,30,26,826
79,169,30,26,826
80,171,30,26,826
81,175,30,26,826
82,176,30,26,826
83,181,30,26,826
84,182,30,26,826
85,186,30,26,826
86,188,30,26,826
87,196,29,26,426
88,199,30,26,826
89,204,30,26,826
90,208,30,26,826
91,210,30,26,826
92,211,30,26,826
93,213,30,26,826
94,214,42,28,428
