,Subbasin,BMP,LU_Base,LU_BMP
0,21,26,26,126
1,22,30,26,826
2,23,30,26,826
3,26,29,26,426
4,27,29,26,426
5,28,29,26,426
6,29,29,26,426
7,31,29,26,426
8,32,30,26,826
9,33,30,26,826
10,34,26,26,126
11,35,29,26,426
12,36,29,26,426
13,37,29,26,426
14,39,29,26,426
15,40,30,26,826
16,41,29,26,426
17,42,29,26,426
18,43,29,26,426
19,44,29,26,426
20,45,29,26,426
21,46,29,26,426
22,47,29,26,426
23,48,29,26,426
24,49,29,26,426
25,51,29,26,426
26,54,30,26,826
27,55,30,26,826
28,56,29,26,426
29,57,29,26,426
30,58,29,26,426
31,59,29,26,426
32,60,57,36,336
33,61,57,36,336
34,63,29,26,426
35,66,29,26,426
36,67,29,26,426
37,69,29,26,426
38,71,29,26,426
39,72,29,26,426
40,73,29,26,426
41,74,29,26,426
42,75,29,26,426
43,76,29,26,426
44,77,30,26,826
45,78,29,26,426
46,79,29,26,426
47,81,29,26,426
48,82,29,26,426
49,83,29,26,426
50,84,29,26,426
51,85,29,26,426
52,86,26,26,126
53,87,29,26,426
54,88,30,26,826
55,89,29,26,426
56,90,29,26,426
57,91,29,26,426
58,92,30,26,826
59,93,30,26,826
60,94,26,26,126
61,95,29,26,426
62,96,29,26,426
63,97,29,26,426
64,98,30,26,826
65,99,29,26,426
66,100,30,26,826
67,102,29,26,426
68,104,29,26,426
69,105,29,26,426
70,106,30,26,826
71,107,30,26,826
72,108,29,26,426
73,109,26,26,126
74,110,30,26,826
75,111,26,26,126
76,113,30,26,826
77,120,29,26,426
78,121,29,26,426
79,122,29,26,426
80,123,26,26,126
81,127,29,26,426
82,129,88,84,384
83,131,26,26,126
84,133,29,26,426
85,135,26,26,126
86,136,30,26,826
87,140,29,26,426
88,143,29,26,426
89,144,29,26,426
90,145,30,26,826
91,151,30,26,826
92,152,29,26,426
93,154,29,26,426
94,159,30,26,826
95,160,26,26,126
96,167,29,26,426
97,168,29,26,426
98,169,30,26,826
99,171,29,26,426
100,175,29,26,426
101,176,29,26,426
102,179,30,26,826
103,181,29,26,426
104,182,29,26,426
105,183,30,26,826
106,184,26,26,126
107,186,29,26,426
108,188,30,26,826
109,189,30,26,826
110,191,26,26,126
111,193,30,26,826
112,196,29,26,426
113,199,29,26,426
114,200,26,26,126
115,202,30,26,826
116,204,29,26,426
117,205,26,26,126
118,208,29,26,426
119,210,30,26,826
120,211,29,26,426
121,212,26,26,126
122,213,29,26,426
123,214,42,28,428
124,215,30,26,826
125,216,26,26,126
126,217,26,26,126
127,219,30,26,826
